TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in �m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
DNM,DIANOMI PLC,ORD GBP0.002,GB00BLH32M40,SHRS,Consumer Discretionary,Media,24/05/2021,United Kingdom,GBX,�103.00,AIM,,ASQ1,AMQ1
DGI9,DIGITAL 9 INFRASTRUCTURE PLC,ORD NPV,JE00BMDKH437,SHRS,Financials,Financial Services ,31/03/2021,Jersey,GBX,�546.93,MAIN MARKET - SFS,,SFM1,SFML
DBOX,DIGITALBOX PLC,ORD 1P,GB00BJK9H642,SHRS,Consumer Discretionary,Media,28/02/2019,United Kingdom,GBX,�6.22,AIM,,ASX1,AIMP
DTY,DIGNITY PLC,ORD 12 48/143P,GB00BRB37M78,SHRS,Consumer Discretionary,Consumer Products and Services,03/11/2014,United Kingdom,GBX,�375.71,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
DSG,DILLISTONE GROUP PLC,ORD 5P,GB00B13QQB40,SHRS,Technology,Technology,24/04/2007,United Kingdom,GBX,�4.72,AIM,,ASQ1,AMQ1
DPLM,DIPLOMA PLC,ORD 5P,GB0001826634,SHRS,Industrials,Industrial Goods and Services,08/07/2005,United Kingdom,GBX,"�3,816.63",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DCTA,DIRECTA PLUS PLC,ORD 0.25P,GB00BSM98843,SHRS,Basic Materials,Chemicals,27/05/2016,United Kingdom,GBX,�76.71,AIM,,ASQ1,AMQ1
DLG,DIRECT LINE INSURANCE GROUP PLC,ORD 10 10/11P,GB00BY9D0Y18,SHRS,Financials,Insurance,30/06/2015,United Kingdom,GBX,"�4,168.13",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DSCV,DISCOVERIE GROUP PLC,ORD 5P,GB0000055888,SHRS,Technology,Technology,02/12/2005,United Kingdom,GBX,�890.09,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
DIS,DISTIL PLC,ORD 0.1P,GB0030164023,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",20/01/2004,United Kingdom,GBX,�12.92,AIM,,ASX1,AIMP
DFCH,DISTRIBUTION FINANCE CAPITAL HOLDINGS PLC,ORD 1P,GB00BJ7HMR72,SHRS,Financials,Financial Services ,09/05/2019,United Kingdom,GBX,�104.03,AIM,,ASQ1,AMQ1
DNL,DIURNAL GROUP PLC,ORD GBP0.05,GB00BDB6Q760,SHRS,Health Care ,Health Care  ,24/12/2015,United Kingdom,GBX,�101.17,AIM,,ASQ1,AMQ1
DIVI,DIVERSE INCOME TRUST (THE) PLC,ORD 0.1P,GB00B65TLW28,SHRS,Financials,Financial Services ,28/04/2011,United Kingdom,GBX,�409.86,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
DEC,DIVERSIFIED ENERGY COMPANY PLC,ORD 1P,GB00BYX7JT74,SHRS,Energy,Energy,03/02/2017,United Kingdom,GBX,�915.87,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
DC.,DIXONS CARPHONE PLC,ORD 0.1P,GB00B4Y7R145,SHRS,Consumer Discretionary,Retail ,24/03/2010,United Kingdom,GBX,"�1,612.05",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DCI,DOLPHIN CAPITAL INVESTORS LIMITED,COM SHS EUR0.01,VGG2803G1028,SHRS,Real Estate,Real Estate ,08/12/2005,British Virgin Islands,GBX,�37.54,AIM,,ASQ1,AMQ1
DOM,DOMINO'S PIZZA GROUP PLC,ORD  25/48P,GB00BYN59130,SHRS,Consumer Discretionary,Travel and Leisure,27/06/2016,United Kingdom,GBX,"�1,894.60",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DNA,DORIC NIMROD AIR ONE LIMITED,ORD PRF SHS NPV,GG00B4MF3899,SHRS,Financials,Financial Services ,13/12/2010,Guernsey,GBX,�14.86,MAIN MARKET - SFS,,SFM2,SFQQ
DNA3,DORIC NIMROD AIR THREE LIMITED,RED ORD PREF SHS NPV,GG00B92LHN58,SHRS,Industrials,Industrial Goods and Services,02/07/2013,Guernsey,GBX,�95.70,MAIN MARKET - SFS,,SFM2,SFQQ
DNA2,DORIC NIMROD AIR TWO LIMITED,ORD PREF SHS NPV,GG00B3Z62522,SHRS,Industrials,Industrial Goods and Services,14/07/2011,Guernsey,GBX,�128.70,MAIN MARKET - SFS,,SFM2,SFQQ
DOTD,DOTDIGITAL GROUP PLC,ORD 0.5P,GB00B3W40C23,SHRS,Technology,Technology,29/03/2011,United Kingdom,GBX,�834.73,AIM,,AMSM,AS50
D467,DOWNING FOUR VCT PLC,DP67 ORD 0.1P,GB00BWX53D91,SHRS,Financials,Financial Services ,30/07/2015,United Kingdom,GBX,�1.57,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX3,SQNC
D4G,DOWNING FOUR VCT PLC,GENERALIST ORD 0.1P,GB00BDHF5B49,SHRS,Financials,Financial Services ,21/02/2017,United Kingdom,GBX,�31.94,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX3,SQNC
D4H,DOWNING FOUR VCT PLC,HEALTHCARE ORD 0.1P,GB00BDHF5D62,SHRS,Financials,Financial Services ,21/02/2017,United Kingdom,GBX,�15.93,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX3,SQNC
DO1D,DOWNING FOUR VCT PLC,DSO D SHS 0.1P,GB00B6QPQ463,SHRS,Financials,Financial Services ,22/12/2011,United Kingdom,GBX,�0.71,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX3,SQNC
DDV1,DOWNING ONE VCT PLC,ORD 1P,GB00BFRSVQ41,SHRS,Financials,Financial Services ,15/11/2013,United Kingdom,GBX,�101.59,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
DORE,DOWNING RENEWABLES & INFRASTRUCTURE TRUST PLC,ORD GBP0.01,GB00BLF7PP25,SHRS,Financials,Financial Services ,10/12/2020,United Kingdom,GBX,�123.73,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
DSM,DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC,RED ORD GBP0.001,GB00BF0SCX52,SHRS,Financials,Financial Services ,09/05/2017,United Kingdom,GBX,�37.88,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
DPA,DP AIRCRAFT I LIMITED,ORD PREF NPV,GG00BBP6HP33,SHRS,Industrials,Industrial Goods and Services,04/10/2013,Guernsey,USD,�4.37,MAIN MARKET - SFS,,SFM2,SFQQ
DPEU,DP EURASIA N.V.,ORD EUR0.12 (DI),NL0012328801,SHRS,Consumer Discretionary,Travel and Leisure,28/06/2017,Netherlands,GBX,�107.43,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
DPP,DP POLAND PLC,ORD 0.5P,GB00B3Q74M51,SHRS,Consumer Discretionary,Travel and Leisure,28/07/2010,United Kingdom,GBX,�49.48,AIM,,ASQ1,AMQ1
GROW,DRAPER ESPRIT PLC,ORD GBP0.01,GB00BY7QYJ50,SHRS,Financials,Financial Services ,15/06/2016,United Kingdom,GBX,"�1,609.56",MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON10
DEVC,DRAPER ESPRIT VCT PLC,ORD 5P,GB0002867140,SHRS,Financials,Financial Services ,14/11/2002,United Kingdom,GBX,�68.53,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
DRX,DRAX GROUP PLC,ORD 11 16/29P,GB00B1VNSX38,SHRS,Utilities,Utilities,30/04/2007,United Kingdom,GBX,"�1,665.01",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DRV,DRIVER GROUP PLC,ORD 0.4P,GB00B0L9C092,SHRS,Industrials,Industrial Goods and Services,20/06/2006,United Kingdom,GBX,�29.22,AIM,,ASX1,AIMP
DOCS,DR. MARTENS PLC,ORD GBP0.01,GB00BL6NGV24,SHRS,Consumer Discretionary,Consumer Products and Services,03/02/2021,United Kingdom,GBX,"�4,182.00",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
DRIP,DRUM INCOME PLUS REIT PLC,ORD 10P,GB00BW4NWS02,SHRS,Real Estate,Real Estate ,29/05/2015,United Kingdom,GBX,�21.58,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
DRUM,DRUMZ PLC,ORD 0.1P,GB00B06CZD75,SHRS,Financials,Financial Services ,20/12/2005,United Kingdom,GBX,�1.76,AIM,,ASX1,AIMP
DKE,DUKEMOUNT CAPITAL PLC,ORD GBP0.001,GB00B6WZDF03,SHRS,Real Estate,Real Estate ,29/03/2017,United Kingdom,GBX,�1.67,MAIN MARKET,Standard Shares,SSQ3,SQS3
DUKE,DUKE ROYALTY LIMITED,ORDS NPV,GG00BYZSSY63,SHRS,Financials,Financial Services ,17/06/2015,Guernsey,GBX,�162.00,AIM,,ASQ1,AMQ1
DNE,DUNEDIN ENTERPRISE INVESTMENT TRUST PLC,ORD 25P,GB0005776561,SHRS,Financials,Financial Services ,19/12/2005,United Kingdom,GBX,�75.84,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
DIG,DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC,ORD 25P,GB0003406096,SHRS,Financials,Financial Services ,08/12/2006,United Kingdom,GBX,�490.43,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
DNLM,DUNELM GROUP PLC,ORD 1P,GB00B1CKQ739,SHRS,Consumer Discretionary,Retail ,18/06/2007,United Kingdom,GBX,"�2,637.04",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DWF,DWF GROUP PLC,ORD 1P,GB00BJMD6M39,SHRS,Industrials,Industrial Goods and Services,11/03/2019,United Kingdom,GBX,�379.85,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
DX.,DX (GROUP) PLC,ORD 1P,GB00BJTCG679,SHRS,Industrials,Industrial Goods and Services,27/02/2014,United Kingdom,GBX,�206.53,AIM,,ASQ1,AMQ1
EYE,EAGLE EYE SOLUTIONS GROUP PLC,ORD 1P,GB00BKF1YD83,SHRS,Technology,Technology,16/04/2014,United Kingdom,GBX,�136.35,AIM,,ASQ1,AMQ1
EISB,EAST IMPERIAL PLC,ORD 1P,GB00BMZ1ND56,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",19/07/2021,United Kingdom,GBX,�43.05,MAIN MARKET,Standard Shares,SSQ3,SQS3
EST,EAST STAR RESOURCES PLC,ORD GBP0.01,GB00BN92HZ16,SHRS,Financials,Financial Services ,04/05/2021,United Kingdom,GBX,�3.37,MAIN MARKET,Standard Shares,SSQ3,SQS3
EZJ,EASYJET PLC,ORD 27 2/7P,GB00B7KR2P84,SHRS,Consumer Discretionary,Travel and Leisure,05/03/2012,United Kingdom,GBX,"�3,695.10",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
EBQ,EBIQUITY PLC,ORD 25P,GB0004126057,SHRS,Consumer Discretionary,Media,02/06/2000,United Kingdom,GBX,�47.08,AIM,,ASX1,AIMP
ELLA,ECCLESIASTICAL INSURANCE OFFICE PLC,8.625% NON CUM IRRD PRF #1,GB0003035382,SHRS,Financials,Insurance,13/12/2004,United Kingdom,GBX,�179.90,MAIN MARKET,Standard Shares,SSQ3,SQS3
ECHO,ECHO ENERGY PLC,ORD 0.25P,GB00BF0YPG76,SHRS,Energy,Energy,23/05/2017,United Kingdom,GBX,�7.21,AIM,,ASQ1,AMQ1
ECK,ECKOH PLC,ORD 0.25P,GB0033359141,SHRS,Technology,Technology,27/06/2003,United Kingdom,GBX,�149.98,AIM,,ASQ1,AMQ1
EAH,ECO ANIMAL HEALTH GROUP PLC,ORD 5P,GB0032036807,SHRS,Health Care ,Health Care  ,17/06/2008,United Kingdom,GBX,�220.07,AIM,,ASX1,AIMP
ECO,ECO (ATLANTIC) OIL & GAS LTD,COM SHS NPV (DI),CA27887W1005,SHRS,Energy,Energy,08/02/2017,Canada,GBX,�52.91,AIM,,ASQ1,AMQ1
EGL,ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC,ORD 1P,GB00BD3V4641,SHRS,Financials,Financial Services ,26/09/2016,United Kingdom,GBX,�188.88,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
RNEP,ECOFIN U.S. RENEWABLES INFRASTRUCTURE TRUST PLC,ORD USD0.01,GB00BLPK4430,SHRS,Financials,Financial Services ,22/12/2020,United Kingdom,GBX,�85.04,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
RNEW,ECOFIN U.S. RENEWABLES INFRASTRUCTURE TRUST PLC,ORD USD0.01,GB00BLPK4430,SHRS,Financials,Financial Services ,22/12/2020,United Kingdom,USD,,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
ECR,ECR MINERALS PLC,ORD 0.001P,GB00BYYDKX57,SHRS,Basic Materials,Basic Resources,22/11/2016,United Kingdom,GBX,�14.54,AIM,,ASX1,AIMP
ECSC,ECSC GROUP PLC,ORD 1P,GB00BYMJ4J99,SHRS,Technology,Technology,14/12/2016,United Kingdom,GBX,�9.01,AIM,,ASQ1,AMQ1
EDEN,EDEN RESEARCH PLC,ORD 1P,GB0001646941,SHRS,Basic Materials,Chemicals,11/05/2012,United Kingdom,GBX,�33.28,AIM,,ASQ1,AMQ1
EDL,EDENVILLE ENERGY PLC,ORD 1P,GB00BN47NP32,SHRS,Basic Materials,Basic Resources,06/01/2021,United Kingdom,GBX,�6.82,AIM,,ASQ1,AMQ1
EDGH,EDGE PERFORMANCE VCT PLC,H SHS 10P,GB00B44VMB16,SHRS,Financials,Financial Services ,11/04/2012,United Kingdom,GBX,�11.30,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
EDGI,EDGE PERFORMANCE VCT PLC,I SHS 10P,GB00B5B6VC05,SHRS,Financials,Financial Services ,11/04/2012,United Kingdom,GBX,�1.64,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
EDIN,EDINBURGH INVESTMENT TRUST PLC,ORD 25P,GB0003052338,SHRS,Financials,Financial Services ,31/10/2003,United Kingdom,GBX,"�1,058.93",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
EWI,EDINBURGH WORLDWIDE INVESTMENT TRUST PLC,ORD 1P,GB00BHSRZC82,SHRS,Financials,Financial Services ,28/01/2019,United Kingdom,GBX,"�1,335.15",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
EPIC,EDISTON PROPERTY INVESTMENT COMPANY PLC,ORD 1P,GB00BNGMZB68,SHRS,Real Estate,Real Estate ,28/10/2014,United Kingdom,GBX,�162.73,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
EAAS,EENERGY GROUP PLC,ORD 0.3P,GB00BJP1KD31,SHRS,Industrials,Industrial Goods and Services,09/01/2020,United Kingdom,GBX,�48.02,AIM,,ASQ1,AMQ1
EDR,EGDON RESOURCES PLC,ORD 1P,GB00B28YML29,SHRS,Energy,Energy,17/01/2008,United Kingdom,GBX,�6.85,AIM,,ASQ1,AMQ1
EJF0,EJF INVESTMENTS LTD,2025 ZDP 100P,JE00BK1WV903,SHRS,Financials,Financial Services ,22/06/2020,Jersey,GBX,,MAIN MARKET - SFS,,SFM2,SFQQ
EJFI,EJF INVESTMENTS LTD,ORD NPV,JE00BF0D1M25,SHRS,Financials,Financial Services ,07/04/2017,Jersey,GBX,,MAIN MARKET - SFS,,SFM2,SFQQ
EJFZ,EJF INVESTMENTS LTD,2022 ZDP NPV,JE00BDG12N48,SHRS,Financials,Financial Services ,01/12/2017,Jersey,GBX,�18.75,MAIN MARKET - SFS,,SFM2,SFQQ
EKF,EKF DIAGNOSTICS HOLDINGS PLC,ORD 1P,GB0031509804,SHRS,Health Care ,Health Care  ,21/03/2007,United Kingdom,GBX,�367.63,AIM,,AMSM,ASM6
ELCO,ELECO PUBLIC LIMITED COMPANY,ORD 1P,GB0003081246,SHRS,Technology,Technology,22/03/2006,United Kingdom,GBX,�106.37,AIM,,ASX1,AIMP
ELTA,ELECTRA PRIVATE EQUITY PLC,ORD 25P,GB0003085445,SHRS,Financials,Financial Services ,31/10/2003,United Kingdom,GBX,�229.16,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
ECM,ELECTROCOMPONENTS PLC,ORD 10P,GB0003096442,SHRS,Industrials,Industrial Goods and Services,17/04/2001,United Kingdom,GBX,"�4,996.14",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
ELM,ELEMENTIS PLC,ORD 5P,GB0002418548,SHRS,Basic Materials,Chemicals,22/09/2008,United Kingdom,GBX,�884.81,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
ELIX,ELIXIRR INTERNATIONAL PLC,ORD 0.005P,GB00BLPHTX84,SHRS,Industrials,Industrial Goods and Services,09/07/2020,United Kingdom,GBX,�267.88,AIM,,ASQ1,AMQ1
EMIS,EMIS GROUP PLC,ORD 1P,GB00B61D1Y04,SHRS,Technology,Technology,29/03/2010,United Kingdom,GBX,�883.83,AIM,,AMSM,AE50
EML,EMMERSON PLC,ORD NPV,IM00BDHDTX83,SHRS,Basic Materials,Basic Resources,15/02/2017,Isle of Man,GBX,�55.83,AIM,,ASQ1,AMQ1
EEE,EMPIRE METALS LIMITED,ORD NPV (DI),VGG3036T1012,SHRS,Basic Materials,Basic Resources,09/03/2020,British Virgin Islands,GBX,�5.81,AIM,,ASQ1,AMQ1
ESP,EMPIRIC STUDENT PROPERTY PLC,ORD GBP0.01,GB00BLWDVR75,SHRS,Real Estate,Real Estate ,30/06/2014,United Kingdom,GBX,�588.73,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
EMR,EMPRESARIA GROUP PLC,ORD 5P,GB00B0358N07,SHRS,Industrials,Industrial Goods and Services,22/06/2005,United Kingdom,GBX,�44.34,AIM,,ASQ1,AMQ1
EME,EMPYREAN ENERGY PLC,ORD 0.2P,GB00B09G2351,SHRS,Energy,Energy,27/07/2005,United Kingdom,GBX,�32.10,AIM,,ASQ1,AMQ1
ENDV,ENDEAVOUR INTERNATIONAL CORPORATION,COM SHS USD0.001,US29259G2003,SHRS,Energy,Energy,18/11/2010,United States,USD,,MAIN MARKET,Standard Shares,SSX4,SXSN
EDV,ENDEAVOUR MINING PLC,ORD USD0.01,GB00BL6K5J42,SHRS,Basic Materials,Basic Resources,14/06/2021,United Kingdom,GBX,"�4,356.41",MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
ENOG,ENERGEAN PLC,ORD 1P,GB00BG12Y042,SHRS,Energy,Energy,16/03/2018,United Kingdom,GBX,"�1,199.24",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25S
ENQ,ENQUEST PLC,ORD 5P,GB00B635TG28,SHRS,Energy,Energy,06/04/2010,United Kingdom,GBX,�495.06,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
ENT,ENTAIN PLC,ORD EUR0.01,IM00B5VQMV65,SHRS,Consumer Discretionary,Travel and Leisure,24/05/2010,Isle of Man,GBX,"�11,181.87",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
NTQ,ENTEQ UPSTREAM PLC,ORD 1P,GB00B41Q8Q68,SHRS,Energy,Energy,01/07/2011,United Kingdom,GBX,�11.53,AIM,,ASQ1,AMQ1
ENW,ENWELL ENERGY PLC,ORD 5P,GB0031775819,SHRS,Energy,Energy,06/11/2006,United Kingdom,GBX,�94.11,AIM,,AMSM,ASM7
ESO,EPE SPECIAL OPPORTUNITIES LIMITED,ORD 5P (DI),BMG3163K1053,SHRS,Financials,Financial Services ,21/09/2018,Bermuda,GBX,�135.03,AIM,,ASQ1,AMQ1
EPG,EP GLOBAL OPPORTUNITIES TRUST PLC,ORD 1P,GB0033862573,SHRS,Financials,Financial Services ,18/11/2005,United Kingdom,GBX,�104.61,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
EPWN,EPWIN GROUP PLC,ORD 0.05P,GB00BNGY4Y86,SHRS,Industrials,Construction and Materials,24/07/2014,United Kingdom,GBX,�170.64,AIM,,AMSM,ASM6
EQT,EQTEC PLC,ORD EUR0.001 (CDI),IE00BH3XCL94,SHRS,Energy,Energy,23/12/2013,Ireland,GBX,�112.18,AIM,,ASQ1,AMQ1
EQLS,EQUALS GROUP PLC,ORD 1P,GB00BLS0XX25,SHRS,Industrials,Industrial Goods and Services,05/08/2014,United Kingdom,GBX,�95.92,AIM,,ASQ1,AMQ1
EQN,EQUINITI GROUP PLC,ORD 0.1P,GB00BYWWHR75,SHRS,Industrials,Industrial Goods and Services,27/10/2015,United Kingdom,GBX,�658.29,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC4
ERGO,ERGOMED PLC,ORD 1P,GB00BN7ZCY67,SHRS,Health Care ,Health Care  ,15/07/2014,United Kingdom,GBX,�715.40,AIM,,AMSM,AS50
ESC,ESCAPE HUNT PLC,ORD 1.25P,GB00BDB79J29,SHRS,Consumer Discretionary,Travel and Leisure,08/07/2016,United Kingdom,GBX,�31.02,AIM,,ASQ1,AMQ1
ESKN,ESKEN LIMITED,ORD 10P,GB00B03HDJ73,SHRS,Industrials,Industrial Goods and Services,18/09/2006,Guernsey,GBX,�141.50,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
ESYS,ESSENSYS PLC,ORD 0.25P,GB00BJL1ZF49,SHRS,Technology,Technology,29/05/2019,United Kingdom,GBX,�196.37,AIM,,ASQ1,AMQ1
ESNT,ESSENTRA PLC,ORD 25P,GB00B0744359,SHRS,Industrials,Industrial Goods and Services,06/06/2005,United Kingdom,GBX,�871.87,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
ETX,E-THERAPEUTICS PLC,ORD 0.1P,GB00B2823H99,SHRS,Health Care ,Health Care  ,28/11/2007,United Kingdom,GBX,�145.10,AIM,,AMSM,ASM8
ENET,ETHERNITY NETWORKS LTD,ORD NIS0.001 (DI),IL0011410359,SHRS,Telecommunications,Telecommunications,29/06/2017,Israel,GBX,�22.69,AIM,,ASQ1,AMQ1
EUA,EURASIA MINING PLC,ORD 0.1P,GB0003230421,SHRS,Basic Materials,Basic Resources,25/03/2004,United Kingdom,GBX,�421.80,AIM,,ASQ1,AMQ1
ECEL,EUROCELL PLC,ORD GBP0.001,GB00BVV2KN49,SHRS,Industrials,Industrial Goods and Services,04/03/2015,United Kingdom,GBX,�288.39,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
ERM,EUROMONEY INSTITUTIONAL INVESTOR PLC,ORD 0.25P,GB0006886666,SHRS,Industrials,Industrial Goods and Services,18/10/2006,United Kingdom,GBX,"�1,147.54",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
EUZ,EUROPA METALS LTD,ORD NPV (DI),AU0000090060,SHRS,Basic Materials,Basic Resources,16/07/2020,Australia,GBX,�3.73,AIM,,ASQ1,AMQ1
EOG,EUROPA OIL & GAS (HOLDINGS) PLC,ORD 1P,GB00B03CJS30,SHRS,Energy,Energy,11/11/2004,United Kingdom,GBX,�7.65,AIM,,ASX1,AIMP
EAT,EUROPEAN ASSETS TRUST PLC,ORD GBP0.10,GB00BHJVQ590,SHRS,Financials,Financial Services ,18/03/2019,United Kingdom,GBX,�525.70,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
EMH,EUROPEAN METALS HOLDINGS LIMITED,ORD NPV (DI),VGG3191T1021,SHRS,Basic Materials,Basic Resources,10/12/2015,British Virgin Islands,GBX,�150.81,AIM,,ASQ1,AMQ1
JEO,EUROPEAN OPPORTUNITIES TRUST PLC,ORD 1P,GB0000197722,SHRS,Financials,Financial Services ,02/12/2005,United Kingdom,GBX,�907.99,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
EVRA,EVERARC HOLDINGS LIMITED,ORD NPV (DI),VGG3218K1003,SHRS,Financials,Financial Services ,17/12/2019,British Virgin Islands,USD,�371.00,MAIN MARKET,Standard Shares,SSQ3,SQS3
EMAN,EVERYMAN MEDIA GROUP PLC,ORD 10P,GB00BFH55S51,SHRS,Consumer Discretionary,Media,07/11/2013,United Kingdom,GBX,�120.78,AIM,,ASQ1,AMQ1
EVE,EVE SLEEP PLC,ORD 0.1P,GB00BYWMFT51,SHRS,Consumer Discretionary,Consumer Products and Services,18/05/2017,United Kingdom,GBX,�9.32,AIM,,ASQ1,AMQ1
EVG,EVGEN PHARMA PLC,ORD 0.25P,GB00BSVYN304,SHRS,Health Care ,Health Care  ,21/10/2015,United Kingdom,GBX,�17.59,AIM,,ASQ1,AMQ1
EVR,EVRAZ PLC,ORD USD0.05,GB00B71N6K86,SHRS,Basic Materials,Basic Resources,07/11/2011,United Kingdom,GBX,"�8,690.87",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
EXPN,EXPERIAN PLC,ORD USD0.10,GB00B19NLV48,SHRS,Industrials,Industrial Goods and Services,11/10/2006,Jersey,GBX,"�29,511.79",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
FA17,FAIR OAKS INCOME LIMITED,REALISATION SHS NPV,GG00BF00L342,SHRS,Financials,Financial Services ,05/04/2017,Guernsey,USD,�267.89,MAIN MARKET - SFS,,SFM2,SFQQ
FAIR,FAIR OAKS INCOME LIMITED,2021 SHS NPV,GG00BNNLWT35,SHRS,Financials,Financial Services ,22/04/2021,Guernsey,USD,,MAIN MARKET - SFS,,SFM2,SFQQ
FLX,FALANX GROUP LIMITED,ORD NPV (DI),VGG3338A1075,SHRS,Industrials,Industrial Goods and Services,20/06/2013,British Virgin Islands,GBX,�5.08,AIM,,ASQ1,AMQ1
FOG,FALCON OIL & GAS LTD.,COM SHS NPV (DI),CA3060711015,SHRS,Energy,Energy,28/03/2013,Canada,GBX,�50.57,AIM,,ASQ1,AMQ1
FHP,FANDANGO HOLDINGS PLC,ORD GBP0.001,GB00BF2P0G38,SHRS,Financials,Financial Services ,12/07/2017,United Kingdom,GBX,�0.60,MAIN MARKET,Standard Shares,SSQ3,SQS3
FARN,FARON PHARMACEUTICALS OY,ORD NPV (DI),FI4000153309,SHRS,Health Care ,Health Care  ,17/11/2015,Finland,GBX,�218.23,AIM,,ASQ1,AMQ1
FBH,FBD HOLDINGS PLC,ORD EUR0.60 (CDI),IE0003290289,SHRS,Financials,Insurance,13/05/2002,Ireland,EUR,�229.98,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
FCIT,F&C INVESTMENT TRUST PLC,ORD 25P,GB0003466074,SHRS,Financials,Financial Services ,22/03/2004,United Kingdom,GBX,"�4,743.29",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
FDM,FDM GROUP (HOLDINGS) PLC,ORD 1P,GB00BLWDVP51,SHRS,Industrials,Industrial Goods and Services,20/06/2014,United Kingdom,GBX,"�1,380.18",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25S
FDP,FD TECHNOLOGIES PUBLIC LIMITED COMPANY,ORD 0.5P,GB0031477770,SHRS,Technology,Technology,16/02/2004,United Kingdom,GBX,�653.26,AIM,,AMSM,AS50
FDBK,FEEDBACK PLC,ORD 0.25P,GB0003340550,SHRS,Health Care ,Health Care  ,31/12/2003,United Kingdom,GBX,�6.67,AIM,,ASX1,AIMP
FERG,FERGUSON PLC,ORD 10P,JE00BJVNSS43,SHRS,Industrials,Industrial Goods and Services,10/05/2019,Jersey,GBX,"�22,731.03",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
